City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Shenkursk,RU,62.1091,42.896,17.19,88,15,3.33,few clouds
126,Acapulco,MX,16.8634,-99.8901,80.42,83,0,2.3,clear sky
127,Talnakh,RU,69.4865,88.3972,29.21,99,100,10.0,snow
128,Ufimskiy,RU,56.7084,58.0517,55.98,81,100,15.28,overcast clouds
129,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,83,20,11.5,few clouds
130,Ugoofaaru,MV,5.6667,73.0,84.6,69,64,3.31,broken clouds
131,Te Anau,NZ,-45.4167,167.7167,57.13,65,7,0.58,clear sky
132,Phangnga,TH,8.4509,98.5298,87.84,71,92,1.25,overcast clouds
133,Yurimaguas,PE,-5.9,-76.0833,73.51,97,100,0.87,overcast clouds
134,Georgetown,MY,5.4112,100.3354,87.73,79,20,3.44,few clouds
135,Port Alfred,ZA,-33.5906,26.891,60.24,71,0,7.05,clear sky
136,Emba,KZ,48.8264,58.1442,56.86,55,100,9.46,overcast clouds
137,Saint-Paul,RE,-21.0096,55.2707,72.73,77,4,6.22,clear sky
138,Broome,US,42.2506,-75.833,35.38,77,100,9.22,light snow
139,Amboise,FR,47.4125,0.9827,50.54,82,0,10.36,clear sky
140,Roma,US,43.2128,-75.4557,36.95,81,100,12.66,overcast clouds
141,Codrington,AU,-38.2667,141.9667,71.22,61,100,13.87,overcast clouds
142,Mahebourg,MU,-20.4081,57.7,73.26,94,20,5.75,few clouds
143,Leningradskiy,RU,69.3833,178.4167,28.58,88,100,11.12,overcast clouds
144,Ilulissat,GL,69.2167,-51.1,32.02,86,100,0.0,overcast clouds
145,Neiafu,TO,-18.65,-173.9833,81.28,69,75,17.27,broken clouds
146,Bowen,AU,-20.0167,148.2333,80.91,69,11,16.42,few clouds
147,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,49,40,12.66,scattered clouds
148,Moron,AR,-34.6534,-58.6198,58.98,78,0,1.21,clear sky
149,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.32,68,27,2.55,scattered clouds
150,Ribeira Grande,PT,38.5167,-28.7,63.91,95,100,31.25,moderate rain
151,Cockburn Town,TC,21.4612,-71.1419,75.31,61,4,15.88,clear sky
152,Toora-Khem,RU,52.4675,96.11,44.78,44,73,6.29,broken clouds
153,Chara,RU,56.9064,118.2631,30.61,50,92,3.71,overcast clouds
154,Hilo,US,19.7297,-155.09,81.28,85,100,9.22,overcast clouds
155,Khatanga,RU,71.9667,102.5,26.06,83,100,16.69,overcast clouds
156,Fez,MA,34.0372,-4.9998,53.85,100,0,6.91,clear sky
157,Puri,IN,19.8,85.85,84.72,79,3,16.75,clear sky
158,Saskylakh,RU,71.9167,114.0833,13.75,91,54,5.95,broken clouds
159,Aykhal,RU,66.0,111.5,26.55,88,65,12.21,broken clouds
160,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,100,75,24.43,broken clouds
161,Cabo San Lucas,MX,22.8909,-109.9124,85.3,38,0,12.66,clear sky
162,Port Moresby,PG,-9.4431,147.1797,84.6,69,19,5.66,few clouds
163,Sirari,TZ,-1.2333,34.4333,61.2,94,100,4.36,light rain
164,Jacareacanga,BR,-6.2222,-57.7528,74.23,92,100,2.28,overcast clouds
165,Qaanaaq,GL,77.484,-69.3632,13.84,67,70,7.67,broken clouds
166,Ashland,US,40.8167,-82.2665,34.34,78,6,5.91,clear sky
167,Imbituba,BR,-28.24,-48.6703,75.85,87,36,10.54,scattered clouds
168,Souillac,MU,-20.5167,57.5167,70.18,94,20,5.75,few clouds
169,Biltine,TD,14.5333,20.9167,84.81,44,70,10.96,broken clouds
170,Barra Do Garcas,BR,-15.89,-52.2567,71.29,64,0,1.48,clear sky
171,Nemuro,JP,43.3236,145.575,43.38,60,47,12.91,scattered clouds
172,Nanortalik,GL,60.1432,-45.2371,38.16,94,100,9.55,light rain
173,Iquique,CL,-20.2208,-70.1431,60.84,79,98,1.68,overcast clouds
174,Husavik,IS,66.0449,-17.3389,37.89,87,69,4.74,broken clouds
175,Lagoa,PT,39.05,-27.9833,62.44,94,100,32.19,light rain
176,Itacarambi,BR,-15.1022,-44.0919,70.25,74,8,2.95,clear sky
177,Maumere,ID,-8.6199,122.2111,84.06,68,78,2.66,broken clouds
178,Thanh Hoa,VN,19.8,105.7667,81.25,85,100,5.68,overcast clouds
179,Dingle,PH,10.9995,122.6711,84.38,74,100,11.32,overcast clouds
180,Dalvik,IS,65.9702,-18.5286,37.33,78,42,5.46,scattered clouds
181,Wattegama,LK,6.7989,81.4808,80.98,80,2,3.33,clear sky
182,Svetlyy,RU,54.675,20.1347,39.25,79,100,3.13,overcast clouds
183,Namatanai,PG,-3.6667,152.4333,86.29,63,65,8.48,broken clouds
184,Serenje,ZM,-13.2325,30.2352,56.91,95,100,11.72,overcast clouds
185,Andros Town,BS,24.7,-77.7667,75.16,68,74,10.45,broken clouds
186,Mehnagar,IN,25.8833,83.1167,93.06,9,0,0.92,clear sky
187,Ulaanbaatar,MN,47.9077,106.8832,42.93,22,0,8.95,clear sky
188,Dikson,RU,73.5069,80.5464,18.07,90,55,21.81,broken clouds
189,Halifax,CA,44.6453,-63.5724,44.69,98,100,9.22,fog
190,Faya,SA,18.3851,42.4509,55.51,40,0,4.63,clear sky
191,Grindavik,IS,63.8424,-22.4338,43.27,87,75,2.3,broken clouds
192,Saint-Pierre,RE,-21.3393,55.4781,72.28,60,0,6.91,clear sky
193,Bonavista,CA,48.6499,-53.1147,36.03,87,98,7.74,overcast clouds
194,Seredka,RU,58.1584,28.1858,20.95,60,18,3.96,few clouds
195,Mogok,MM,22.9167,96.5,87.89,19,3,3.06,clear sky
196,Srandakan,ID,-7.9386,110.2506,80.94,77,100,1.25,overcast clouds
197,Namibe,AO,-15.1961,12.1522,72.66,74,39,3.22,scattered clouds
198,Port-Gentil,GA,-0.7193,8.7815,79.59,79,100,5.3,overcast clouds
199,Chimoio,MZ,-19.1164,33.4833,60.37,83,93,7.4,overcast clouds
200,Tuatapere,NZ,-46.1333,167.6833,56.68,66,43,3.42,scattered clouds
201,Victoria,HK,22.2855,114.1577,87.96,82,18,11.01,few clouds
202,Mount Isa,AU,-20.7333,139.5,89.37,43,40,8.05,scattered clouds
203,Sangar,RU,63.9242,127.4739,24.64,86,100,6.58,overcast clouds
204,Muros,ES,42.7762,-9.0603,49.68,95,3,4.97,clear sky
