City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Butaritari,KI,2022-04-25 19:59:51,3.0707,172.7902,79.65,84,37,13.82
123,Simao,CN,2022-04-25 19:59:51,22.7886,100.9748,63.84,54,0,0.27
124,Rorvik,NO,2022-04-25 19:59:52,64.8621,11.2373,37.51,87,75,12.66
125,Labuhan,ID,2022-04-25 19:59:52,-6.8844,112.2051,78.93,85,99,3.58
126,Kibala,TD,2022-04-25 19:59:53,9.1104,18.3463,85.95,58,20,0.0
127,Torbay,CA,2022-04-25 19:59:53,47.6666,-52.7314,40.87,95,100,17.27
128,Praia Da Vitoria,PT,2022-04-25 19:59:54,38.7333,-27.0667,62.85,72,20,13.02
129,Ayan,RU,2022-04-25 19:59:54,56.45,138.1667,25.05,79,3,6.6
130,Arraial Do Cabo,BR,2022-04-25 19:59:55,-22.9661,-42.0278,78.66,65,20,12.66
131,Cockburn Town,TC,2022-04-25 19:56:27,21.4612,-71.1419,80.56,61,40,18.41
132,Saint-Philippe,RE,2022-04-25 19:59:55,-21.3585,55.7679,74.79,80,87,15.7
133,Christchurch,NZ,2022-04-25 19:55:46,-43.5333,172.6333,45.95,91,40,0.0
134,Pangnirtung,CA,2022-04-25 19:59:57,66.1451,-65.7125,26.6,80,100,18.41
135,Candido Mendes,BR,2022-04-25 19:55:44,-1.4467,-45.7167,79.7,87,87,5.84
136,Polovinnoye,RU,2022-04-25 19:59:57,54.7914,65.9864,48.42,81,96,6.64
137,Bambous Virieux,MU,2022-04-25 19:59:58,-20.3428,57.7575,75.45,78,40,11.5
138,Beaverlodge,CA,2022-04-25 19:59:58,55.2166,-119.4361,52.95,48,99,4.36
139,Darhan,MN,2022-04-25 19:59:58,49.4867,105.9228,23.9,43,2,2.13
140,Cidreira,BR,2022-04-25 20:00:59,-30.1811,-50.2056,73.94,76,82,13.6
141,Vila,PT,2022-04-25 20:01:00,42.0304,-8.1588,50.88,71,48,3.69
142,Olivenza,ES,2022-04-25 20:01:00,38.6832,-7.103,65.32,62,100,6.51
143,Broken Hill,AU,2022-04-25 20:01:01,-31.95,141.4333,60.66,75,100,15.75
144,Madimba,TZ,2022-04-25 20:01:01,-10.4,40.3333,77.65,88,78,5.37
145,Paamiut,GL,2022-04-25 20:01:02,61.994,-49.6678,31.19,89,100,13.35
146,Andros Town,BS,2022-04-25 20:01:02,24.7,-77.7667,77.11,71,24,17.76
147,Namibe,AO,2022-04-25 20:01:03,-15.1961,12.1522,71.1,78,2,5.3
148,Phaphund,IN,2022-04-25 20:01:03,26.6,79.4667,89.17,14,2,2.48
149,Annau,TM,2022-04-25 20:01:04,37.8876,58.516,75.36,43,97,2.75
150,Saldanha,ZA,2022-04-25 20:01:04,-33.0117,17.9442,58.35,77,0,16.26
151,Comodoro Rivadavia,AR,2022-04-25 20:01:05,-45.8667,-67.5,58.28,41,32,12.84
152,Shingu,JP,2022-04-25 20:01:05,33.7333,135.9833,64.27,92,100,0.83
153,Waingapu,ID,2022-04-25 20:01:06,-9.6567,120.2641,76.03,68,100,4.34
154,Dobrinka,RU,2022-04-25 20:01:06,52.1653,40.4731,56.43,78,98,5.21
155,Mandera,KE,2022-04-25 20:01:07,3.9366,41.867,90.48,41,100,4.81
156,Luderitz,NA,2022-04-25 20:01:07,-26.6481,15.1594,59.4,56,0,15.75
157,Chokurdakh,RU,2022-04-25 20:01:08,70.6333,147.9167,6.75,93,98,4.88
158,Norman Wells,CA,2022-04-25 20:01:09,65.282,-126.8329,36.73,90,100,6.17
159,Ewa Beach,US,2022-04-25 20:01:09,21.3156,-158.0072,79.59,57,0,15.01
160,Xique-Xique,BR,2022-04-25 20:01:10,-10.8218,-42.7263,89.47,37,17,12.84
161,Tabon,PH,2022-04-25 20:01:10,9.2388,117.9946,79.02,87,100,3.2
